date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:25	275230/275230	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Aug%202018%2006:31:48%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/chef2.png	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/chef2.png	(from http://kamleshyadav.com/html/catering/catering-default/index-5.html)
09:32:27	26427/26427	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:25%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/services/service2.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/services/service2.jpg	(from http://kamleshyadav.com/html/catering/catering-default/service.html)
09:32:29	38389/38389	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:25%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/services/service1.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/services/service1.jpg	(from http://kamleshyadav.com/html/catering/catering-default/service.html)
09:32:31	44279/44279	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:26%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/services/service3.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/services/service3.jpg	(from http://kamleshyadav.com/html/catering/catering-default/service.html)
09:32:32	16059/16059	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:31%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/services/spcl_event2.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/services/spcl_event2.jpg	(from http://kamleshyadav.com/html/catering/catering-default/service.html)
09:32:32	30018/30018	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:30%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/services/spcl_event1.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/services/spcl_event1.jpg	(from http://kamleshyadav.com/html/catering/catering-default/service.html)
09:32:34	61998/61998	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:28%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/services/cat-service.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/services/cat-service.jpg	(from http://kamleshyadav.com/html/catering/catering-default/service.html)
09:32:35	18888/18888	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:34%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/services/spcl_event4.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/services/spcl_event4.jpg	(from http://kamleshyadav.com/html/catering/catering-default/service.html)
09:32:35	24970/24970	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:34%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/services/spcl_event3.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/services/spcl_event3.jpg	(from http://kamleshyadav.com/html/catering/catering-default/service.html)
09:32:36	9237/9237	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Aug%202018%2006:32:37%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/blog/author1.png	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/blog/author1.png	(from http://kamleshyadav.com/html/catering/catering-default/blog.html)
09:32:37	3374/3374	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:38%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/sidebar/rpost1.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/sidebar/rpost1.jpg	(from http://kamleshyadav.com/html/catering/catering-default/blog.html)
09:32:37	11336/11336	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Aug%202018%2006:32:38%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/blog/author2.png	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/blog/author2.png	(from http://kamleshyadav.com/html/catering/catering-default/blog.html)
09:32:38	3736/3736	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:39%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/sidebar/rpost2.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/sidebar/rpost2.jpg	(from http://kamleshyadav.com/html/catering/catering-default/blog.html)
09:32:38	3542/3542	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:40%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/sidebar/rpost3.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/sidebar/rpost3.jpg	(from http://kamleshyadav.com/html/catering/catering-default/blog.html)
